title,Authors,1stAuthor,result-from,result-id,result-pub_date,result-title,result-ttl_similarity,result-author,result-link,result-pdf_link
Estimation in Rotationally Invariant Generalized Linear Models via Approximate Message Passing,Ramji Venkataramanan (University of Cambridge) · Kevin Kögler (IST Austria) · Marco Mondelli (IST Austria),Ramji Venkataramanan,arXiv,http://arxiv.org/abs/2112.04330v2,2021-12-08T15:20:04Z,"Estimation in Rotationally Invariant Generalized Linear Models via
  Approximate Message Passing",0.989,Marco Mondelli,http://arxiv.org/abs/2112.04330v2,http://arxiv.org/pdf/2112.04330v2
Recurrent Model-Free RL can be a Strong Baseline for Many POMDPs,Tianwei Ni (Université de Montréal) · Benjamin Eysenbach (Carnegie Mellon University) · Ruslan Salakhutdinov (Carnegie Mellen University),Tianwei Ni,arXiv,http://arxiv.org/abs/2110.05038v3,2021-10-11T07:09:14Z,Recurrent Model-Free RL Can Be a Strong Baseline for Many POMDPs,1.0,Ruslan Salakhutdinov,http://arxiv.org/abs/2110.05038v3,http://arxiv.org/pdf/2110.05038v3
Self-Supervised Representation Learning via Latent Graph Prediction,Yaochen Xie (Texas A&M University) · Zhao Xu (Texas A&M University) · Shuiwang Ji (Texas A&M University),Yaochen Xie,arXiv,http://arxiv.org/abs/2202.08333v1,2022-02-16T21:10:33Z,Self-Supervised Representation Learning via Latent Graph Prediction,1.0,Shuiwang Ji,http://arxiv.org/abs/2202.08333v1,http://arxiv.org/pdf/2202.08333v1
Choosing Answers in Epsilon-Best-Answer Identification for Linear Bandits,"Marc Jourdan (Inria, Universite de Lille) · Rémy Degenne (Inria Lille)",Marc Jourdan,arXiv,http://arxiv.org/abs/2206.04456v1,2022-06-09T12:27:51Z,"Choosing Answers in $\varepsilon$-Best-Answer Identification for Linear
  Bandits",0.948,Rémy Degenne,http://arxiv.org/abs/2206.04456v1,http://arxiv.org/pdf/2206.04456v1
Detached Error Feedback for Distributed SGD with Random Sparsification,An Xu (University of Pittsburgh) · Heng Huang (University of Pittsburgh & JD Finance America Corporation),An Xu,arXiv,http://arxiv.org/abs/2004.05298v3,2020-04-11T03:50:59Z,Detached Error Feedback for Distributed SGD with Random Sparsification,1.0,Heng Huang,http://arxiv.org/abs/2004.05298v3,http://arxiv.org/pdf/2004.05298v3
Skin Deep Unlearning: Artefact and Instrument Debiasing in the Context of Melanoma Classification,Peter J. Bevan (Newcastle University) · Amir Atapour-Abarghouei (Durham University),Peter J. Bevan,arXiv,http://arxiv.org/abs/2109.09818v6,2021-09-20T20:00:22Z,"Skin Deep Unlearning: Artefact and Instrument Debiasing in the Context
  of Melanoma Classification",0.99,Amir Atapour-Abarghouei,http://arxiv.org/abs/2109.09818v6,http://arxiv.org/pdf/2109.09818v6
Faster Algorithms for Learning Convex Functions,Ali Siahkamari (Boston University) · Durmus Alp Emre Acar (Boston University) · Christopher Liao (Boston University) · Kelly Geyer (Boston University) · Venkatesh Saligrama (Boston University) · Brian Kulis (Boston University and Amazon),Ali Siahkamari,arXiv,http://arxiv.org/abs/2111.01348v4,2021-11-02T03:10:41Z,Faster Algorithms for Learning Convex Functions,1.0,Brian Kulis,http://arxiv.org/abs/2111.01348v4,http://arxiv.org/pdf/2111.01348v4
Hermite Polynomial Features for Private Data Generation,Margarita Vinaroz (Max Planck Institute for Intelligent Systems and University of Tuebingen) · Mohammad-Amin Charusaie (Max-Planck-Institute for Intelligent Systems) · Frederik Harder (Max Planck Institute) · Kamil Adamczewski (Max Planck Institute for Intelligent Systems) · Mi Jung Park (UBC),Margarita Vinaroz,arXiv,http://arxiv.org/abs/2106.05042v3,2021-06-09T12:56:41Z,Hermite Polynomial Features for Private Data Generation,1.0,Kamil Adamczewski,http://arxiv.org/abs/2106.05042v3,http://arxiv.org/pdf/2106.05042v3
Large-Scale Graph Neural Architecture Search,Chaoyu Guan (Tsinghua University) · Xin Wang (Tsinghua University) · Hong Chen (Tsinghua University) · Ziwei Zhang (Tsinghua University) · Wenwu Zhu (Tsinghua University),Chaoyu Guan,Google,,,PaSca: a ,0.189,,https://arxiv.org/pdf/2203.00638,
Meaningfully debugging model mistakes using conceptual counterfactual explanations,Abubakar Abid (Stanford) · Mert Yuksekgonul (Stanford University) · James Zou (Stanford),Abubakar Abid,arXiv,http://arxiv.org/abs/2106.12723v3,2021-06-24T01:49:55Z,"Meaningfully Debugging Model Mistakes using Conceptual Counterfactual
  Explanations",0.988,James Zou,http://arxiv.org/abs/2106.12723v3,http://arxiv.org/pdf/2106.12723v3
Understanding Policy Gradient Algorithms: A Sensitivity-Based Approach,Shuang Wu (Huawei Noah's Ark Lab) · Ling Shi (The Hong Kong University of Science and Technology) · Jun Wang (UCL) · Guangjian Tian (Huawei Noah’s Ark Lab),Shuang Wu,Google,,,R2PG: Risk-Sensitive and Reliable ,0.308,,https://www.aaai.org/ocs/index.php/WS/AAAIW18/paper/viewFile/16516/15637,
Unaligned Supervision for Automatic Music Transcription in The Wild,Ben Maman (Tel Aviv University) · Amit Bermano (Tel-Aviv University),Ben Maman,arXiv,http://arxiv.org/abs/2204.13668v1,2022-04-28T17:31:43Z,Unaligned Supervision For Automatic Music Transcription in The Wild,1.0,Amit H. Bermano,http://arxiv.org/abs/2204.13668v1,http://arxiv.org/pdf/2204.13668v1
Discriminator-Weighted Offline Imitation Learning from Suboptimal Demonstrations,Haoran Xu (Xidian University) · Xianyuan Zhan (Tsinghua University) · Honglei Yin (JD Intelligent Cities Research) · Huiling qin (Xidian University),Haoran Xu,,,,,0.0,,,
Model Agnostic Sample Reweighting for Out-of-Distribution Learning,Xiao Zhou (HKUST) · Yong LIN (The Hong Kong University of Science and Technology) · Renjie Pi (Hong Kong University of Science and Technology) · Weizhong Zhang (The Hong Kong University of Science and Technology) · Renzhe Xu (Tsinghua University) · Peng Cui (Tsinghua University) · Tong Zhang (HKUST),Xiao Zhou,,,,,0.0,,,
Probabilistic Bilevel Coreset Selection,Xiao Zhou (HKUST) · Renjie Pi (Hong Kong University of Science and Technology) · Weizhong Zhang (The Hong Kong University of Science and Technology) · Yong LIN (The Hong Kong University of Science and Technology) · Zonghao Chen (Tsinghua University) · Tong Zhang (HKUST),Xiao Zhou,Google,,,arXiv:2109.12534v1 [cs.LG] 26 Sep 2021,0.13,,https://arxiv.org/pdf/2109.12534,
Benchmarking and Analyzing Point Cloud Classification under Corruptions,Jiawei Ren (Nanyang Technological University) · Liang Pan (Nanyang Technological University) · Ziwei Liu (Nanyang Technological University),Jiawei Ren,arXiv,http://arxiv.org/abs/2202.03377v3,2022-02-07T17:50:21Z,Benchmarking and Analyzing Point Cloud Classification under Corruptions,1.0,Ziwei Liu,http://arxiv.org/abs/2202.03377v3,http://arxiv.org/pdf/2202.03377v3
Equivariant graph neural networks with complete local frames,weitao du (University of science and technology of china) · He Zhang (Xi'an Jiaotong University) · Yuanqi Du (George Mason University) · Qi Meng (Microsoft) · Wei Chen (Chinese Academy of Sciences) · Tie-Yan Liu (Microsoft Research Asia) · Nanning Zheng (Xi'an Jiaotong University) · Bin Shao (Microsoft Research Asia),weitao du,Google,,,FRAME AVERAGING FOR INVARIANT AND ,0.255,,https://openreview.net/pdf?id=zIUyj55nXR,
Going Deeper into Permutation-Sensitive Graph Neural Networks,"Zhongyu Huang (Institute of Automation, Chinese Academy of Sciences) · Yingheng Wang (Johns Hopkins University) · Chaozhuo Li (Microsoft Research Asia) · Huiguang He (Institute of Automation, Chinese Academy of Sciences)",Zhongyu Huang,arXiv,http://arxiv.org/abs/2205.14368v1,2022-05-28T08:22:10Z,Going Deeper into Permutation-Sensitive Graph Neural Networks,1.0,Huiguang He,http://arxiv.org/abs/2205.14368v1,http://arxiv.org/pdf/2205.14368v1
"Connect, Not Collapse: Explaining Contrastive Learning for Unsupervised Domain Adaptation",Kendrick Shen (Stanford University) · Robbie Jones (Stanford University) · Ananya Kumar (Stanford University) · Sang Michael Xie (Stanford University) · Jeff Z. HaoChen (Stanford University) · Tengyu Ma (Stanford University) · Percy Liang (Stanford University),Kendrick Shen,arXiv,http://arxiv.org/abs/2204.00570v2,2022-04-01T16:56:26Z,"Connect, Not Collapse: Explaining Contrastive Learning for Unsupervised
  Domain Adaptation",0.989,Percy Liang,http://arxiv.org/abs/2204.00570v2,http://arxiv.org/pdf/2204.00570v2
Diversified Adversarial Attacks based on Conjugate Gradient Method,Keiichiro Yamamura (Kyushu University) · Haruki Sato (Kyushu University) · Nariaki Tateiwa (KYUSHU UNIVERSITY) · Nozomi Hata (Kyushu University) · Katsuki Fujisawa (Kyushu University) · Issa Oe (Kyushu University) · Hiroki Ishikura (Kyushu University) · Toru Mitsutake (Kyushu University),Keiichiro Yamamura,arXiv,http://arxiv.org/abs/2206.09628v1,2022-06-20T08:24:02Z,Diversified Adversarial Attacks based on Conjugate Gradient Method,1.0,Katsuki Fujisawa,http://arxiv.org/abs/2206.09628v1,http://arxiv.org/pdf/2206.09628v1
On the Effects of Artificial Data Modification,Antonia Marcu (University of Southampton) · Adam Prugel-Bennett (apb@ecs.soton.ac.uk),Antonia Marcu,arXiv,http://arxiv.org/abs/2110.13968v1,2021-10-26T19:10:25Z,On the Effects of Data Distortion on Model Analysis and Training,0.527,Adam Prügel-Bennett,http://arxiv.org/abs/2110.13968v1,http://arxiv.org/pdf/2110.13968v1
COLA: Consistent Learning with Opponent-Learning Awareness,"Timon Willi (University of Oxford) · Alistair Letcher (None) · Johannes Treutlein (University of Toronto, Vector Institute) · Jakob Foerster (Oxford university)",Timon Willi,arXiv,http://arxiv.org/abs/2203.04098v1,2022-03-08T14:08:36Z,COLA: Consistent Learning with Opponent-Learning Awareness,1.0,Jakob Foerster,http://arxiv.org/abs/2203.04098v1,http://arxiv.org/pdf/2203.04098v1
Scalable Deep Gaussian Markov Random Fields for General Graphs,Joel Oskarsson (Linköping University) · Per Sidén (Linköping University) · Fredrik Lindsten (Linköping University),Joel Oskarsson,arXiv,http://arxiv.org/abs/2206.05032v1,2022-06-10T12:12:41Z,Scalable Deep Gaussian Markov Random Fields for General Graphs,1.0,Fredrik Lindsten,http://arxiv.org/abs/2206.05032v1,http://arxiv.org/pdf/2206.05032v1
DNA: Domain Generalization with Diversified Neural Averaging,Xu Chu (Tsinghua University) · Yujie Jin (Peking University) · Wenwu Zhu (Tsinghua University) · Yasha Wang (Peking University) · Shanghang Zhang (UC Berkeley) · Xin Wang (Tsinghua University) · Hong Mei (Peking University),Xu Chu,Google,,,Poly(A)-DG: A deep-learning-based ,0.106,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7671507/,
Fully-Connected Network on Noncompact Symmetric Space and Ridgelet Transform based on Helgason-Fourier Analysis,"Sho Sonoda (RIKEN AIP) · Isao Ishikawa (Center for Data Science, Ehime University) · Masahiro Ikeda (RIKEN AIP)",Sho Sonoda,arXiv,http://arxiv.org/abs/2203.01631v1,2022-03-03T10:45:53Z,"Fully-Connected Network on Noncompact Symmetric Space and Ridgelet
  Transform based on Helgason-Fourier Analysis",0.991,Masahiro Ikeda,http://arxiv.org/abs/2203.01631v1,http://arxiv.org/pdf/2203.01631v1
Adversarial Attacks and Defenses for Non-Parametric Two-Sample Tests,"Xilie Xu (National University of Singapore) · Jingfeng Zhang (RIKEN) · Feng Liu (The University of Melbourne) · Masashi Sugiyama (RIKEN / The University of Tokyo) · Mohan Kankanhalli (National University of Singapore,)",Xilie Xu,arXiv,http://arxiv.org/abs/2202.03077v2,2022-02-07T11:18:04Z,Adversarial Attack and Defense for Non-Parametric Two-Sample Tests,0.985,Mohan Kankanhalli,http://arxiv.org/abs/2202.03077v2,http://arxiv.org/pdf/2202.03077v2
Towards Theoretical Analysis of Transformation Complexity of ReLU DNNs,Jie Ren (Shanghai Jiao Tong University) · Mingjie Li (Shanghai Jiao Tong University) · Meng Zhou (Carnegie Mellon University) · Shih-Han Chan (University of California San Diego) · Quanshi Zhang (Shanghai Jiao Tong University),Jie Ren,arXiv,http://arxiv.org/abs/2205.01940v1,2022-05-04T08:23:04Z,Towards Theoretical Analysis of Transformation Complexity of ReLU DNNs,1.0,Quanshi Zhang,http://arxiv.org/abs/2205.01940v1,http://arxiv.org/pdf/2205.01940v1
Auxiliary Learning with Joint Task and Data Scheduling,Hong Chen (Tsinghua University) · Xin Wang (Tsinghua University) · Chaoyu Guan (Tsinghua University) · Yue Liu (Tsinghua University) · Wenwu Zhu (Tsinghua University),Hong Chen,,,,,0.0,,,
Fishr: Invariant Gradient Variances for Out-of-distribution Generalization,Alexandre Rame (Sorbonne University) · Corentin Dancette (LIP6) · Matthieu Cord (Sorbonne University),Alexandre Rame,arXiv,http://arxiv.org/abs/2109.02934v3,2021-09-07T08:36:09Z,"Fishr: Invariant Gradient Variances for Out-of-Distribution
  Generalization",0.987,Matthieu Cord,http://arxiv.org/abs/2109.02934v3,http://arxiv.org/pdf/2109.02934v3
Towards Uniformly Superhuman Autonomy via Subdominance Minimization,Brian Ziebart (University of Illinois at Chicago) · Sanjiban Choudhury (Aurora) · Xinyan Yan (Aurora Innovation) · Paul Vernaza (Aurora Innovation),Brian Ziebart,Google,,,Accepted Papers - ICML,0.135,,https://icml.cc/Conferences/2022/AcceptedPapersInitial,
Information Discrepancy in Strategic Learning,Yahav Bechavod (Hebrew University) · Chara Podimata (Harvard University) · Steven Wu (Carnegie Mellon University) · Juba Ziani (University of Pennsylvania),Yahav Bechavod,arXiv,http://arxiv.org/abs/2103.01028v4,2021-03-01T14:26:58Z,Information Discrepancy in Strategic Learning,1.0,Juba Ziani,http://arxiv.org/abs/2103.01028v4,http://arxiv.org/pdf/2103.01028v4
On the Convergence of Inexact Predictor-Corrector Methods for Linear Programming,Gregory Dexter (Purdue University) · Agniva Chowdhury (Oak Ridge National Laboratory) · Haim Avron (Tel Aviv University) · Petros Drineas (Purdue University),Gregory Dexter,arXiv,http://arxiv.org/abs/2202.01756v1,2022-02-03T18:24:29Z,"On the Convergence of Inexact Predictor-Corrector Methods for Linear
  Programming",0.988,Petros Drineas,http://arxiv.org/abs/2202.01756v1,http://arxiv.org/pdf/2202.01756v1
In defense of dual-encoders for neural ranking,"Aditya Menon (Google Research) · Sadeep Jayasumana (Google Research) · Ankit Singh Rawat (Google) · Seungyeon Kim (Google Research) · Sashank Jakkam Reddi (Google) · Sanjiv Kumar (Google Research, NY)",Aditya Menon,Google,,,arXiv:2205.11194v1 [cs.IR] 23 May 2022,0.071,,https://arxiv.org/pdf/2205.11194,
Partial and Asymmetric Contrastive Learning for Out-of-Distribution Detection in Long-Tailed Recognition,Haotao Wang (University of Texas at Austin) · Aston Zhang (Amazon AI) · Yi Zhu (Amazon) · Shuai Zheng (Amazon Web Services) · Mu Li () · Alex Smola (Amazon) · Zhangyang “Atlas” Wang (University of Texas at Austin),Haotao Wang,Google,,,arXiv:2205.12693v5 [cs.CV] 3 Jun 2022 - APS arXiv Mirror,0.113,,https://aps.arxiv.org/pdf/2205.12693,
GenLabel: Mixup Relabeling using Generative Models,Jy yong Sohn (University of Wisconsin-Madison) · Liang Shang (University of Wisconsin-Madison) · Hongxu Chen (University of Wisconsin-Madison) · Jaekyun Moon (KAIST) · Dimitris Papailiopoulos (University of Wisconsin-Madison) · Kangwook Lee (UW Madison),Jy yong Sohn,arXiv,http://arxiv.org/abs/2201.02354v1,2022-01-07T07:38:05Z,GenLabel: Mixup Relabeling using Generative Models,1.0,Kangwook Lee,http://arxiv.org/abs/2201.02354v1,http://arxiv.org/pdf/2201.02354v1
Be Like Water: Adaptive Floating Point for Machine Learning,Thomas Y. Yeh (Pomona College) · Alexander Ihler (UC Irvine) · Maxwell Sterner (Luminous Computing) · Zerlina Lai (Occidental College) · Brandon Chuang (UC Santa Cruz),Thomas Y. Yeh,Google,,,AdaptivFloat: A ,0.347,,https://arxiv.org/pdf/1909.13271,
Online Decision Transformer,Qinqing Zheng (Meta AI Research) · Amy Zhang (FAIR / UC Berkeley) · Aditya Grover (UCLA),Qinqing Zheng,arXiv,http://arxiv.org/abs/2202.05607v1,2022-02-11T13:43:24Z,Online Decision Transformer,1.0,Aditya Grover,http://arxiv.org/abs/2202.05607v1,http://arxiv.org/pdf/2202.05607v1
Born-Infeld (BI) for AI:  Energy-Conserving Descent (ECD) for Optimization,Giuseppe Bruno De Luca (Stanford) · Eva Silverstein (Stanford University),Giuseppe Bruno De Luca,arXiv,http://arxiv.org/abs/2201.11137v2,2022-01-26T19:00:05Z,"Born-Infeld (BI) for AI: Energy-Conserving Descent (ECD) for
  Optimization",0.98,Eva Silverstein,http://arxiv.org/abs/2201.11137v2,http://arxiv.org/pdf/2201.11137v2
Head2Toe: Utilizing Intermediate Representations for Better Transfer Learning,Utku Evci (Google) · Vincent Dumoulin (Google) · Hugo Larochelle (Google Brain) · Michael Mozer (Google Research),Utku Evci,arXiv,http://arxiv.org/abs/2201.03529v1,2022-01-10T18:40:07Z,"Head2Toe: Utilizing Intermediate Representations for Better Transfer
  Learning",0.987,Michael C. Mozer,http://arxiv.org/abs/2201.03529v1,http://arxiv.org/pdf/2201.03529v1
Building Robust Ensembles via Margin Boosting,"Dinghuai Zhang (Mila, Meta) · Hongyang Zhang (University of Waterloo) · Aaron Courville (Université de Montréal) · Yoshua Bengio (Mila - Quebec AI Institute) · Pradeep Ravikumar (Carnegie Mellon University) · Arun Sai Suggala (Carnegie Mellon University)",Dinghuai Zhang,arXiv,http://arxiv.org/abs/2206.03362v1,2022-06-07T14:55:58Z,Building Robust Ensembles via Margin Boosting,1.0,Arun Sai Suggala,http://arxiv.org/abs/2206.03362v1,http://arxiv.org/pdf/2206.03362v1
Graph Neural Architecture Search Under Distribution Shifts,Yijian Qin (Tsinghua University) · Xin Wang (Tsinghua University) · Ziwei Zhang (Tsinghua University) · Pengtao Xie (UC San Diego) · Wenwu Zhu (Tsinghua University),Yijian Qin,arXiv,http://arxiv.org/abs/2206.09166v1,2022-06-18T10:17:15Z,NAS-Bench-Graph: Benchmarking Graph Neural Architecture Search,0.533,Wenwu Zhu,http://arxiv.org/abs/2206.09166v1,http://arxiv.org/pdf/2206.09166v1
Matching Structure for Dual Learning,Hao Fei (National University of Singapore) · Shengqiong Wu (National University of Singapore) · Yafeng Ren (Guangdong University of Foreigh Studies) · Meishan Zhang (Harbin Institute of Technology (Shenzhen)),Hao Fei,Google,,,MULTI-AGENT ,0.125,,https://openreview.net/pdf?id=HyGhN2A5tm,
"Informed Learning by Wide Neural Networks: Convergence, Generalization and Sampling Complexity",Jianyi Yang (UC Riverside) · Shaolei Ren (UCR),Jianyi Yang,Google,,,arXiv:2110.05667v1 [cs.LG] 12 Oct 2021,0.076,,https://arxiv.org/pdf/2110.05667,
ME-GAN: Learning Panoptic Electrocardio Representations for Multi-view ECG Synthesis Conditioned on Heart Diseases,Jintai Chen (Zhejiang University) · KuanLun Liao (Zhejiang University) · Kun Wei (Xidian University) · Haochao Ying (Zhejiang University) · Danny Z Chen (University of Notre Dame) · Jian Wu (Zhejiang University),Jintai Chen,Google,,,Papers - AAAI2022,0.061,,https://aaai-2022.virtualchair.net/papers.html?filter=keywords&search=Poster%20Session%205,
Self-supervised Models are Good Teaching Assistants for Vision Transformers ,Haiyan Wu (East China Normal University) · Yuting Gao (Tencent) · Yinqi Zhang (Jinan University) · Shaohui Lin (East China Normal University) · Yuan Xie (East China Normal University) · Xing Sun (Tencent) · Ke Li (Tencent),Haiyan Wu,,,,,0.0,,,
Quantification and Analysis of Layer-wise and Pixel-wise Information Discarding,Haotian Ma (Southern University of Science and Technology) · Hao Zhang (Shanghai Jiao Tong University) · Fan Zhou (Shanghai Jiao Tong University) · Yinqing Zhang (Shanghai Jiao Tong University) · Quanshi Zhang (Shanghai Jiao Tong University),Haotian Ma,arXiv,http://arxiv.org/abs/1906.04109v2,2019-06-10T16:33:03Z,"Quantification and Analysis of Layer-wise and Pixel-wise Information
  Discarding",0.988,Quanshi Zhang,http://arxiv.org/abs/1906.04109v2,http://arxiv.org/pdf/1906.04109v2
Understanding Robust Overfitting of Adversarial Training and Beyond,Chaojian Yu (The University of Sydney) · Bo Han (HKBU / RIKEN) · Li Shen (JD Explore Academy) · Jun Yu (University of Science and Technology of China) · Chen Gong (Nanjing University of Science and Technology) · Mingming Gong (University of Melbourne) · Tongliang Liu (The University of Sydney),Chaojian Yu,arXiv,http://arxiv.org/abs/2206.08675v2,2022-06-17T10:25:17Z,Understanding Robust Overfitting of Adversarial Training and Beyond,1.0,Tongliang Liu,http://arxiv.org/abs/2206.08675v2,http://arxiv.org/pdf/2206.08675v2
A Minimax Learning Approach to Off-Policy Evaluation in Partially Observable Markov Decision Processes,Chengchun Shi (London School of Economics and Political Science) · Masatoshi Uehara (Cornell University) · Jiawei Huang (University of Illinois at Urbana-Champaign) · Nan Jiang (University of Illinois at Urbana-Champaign),Chengchun Shi,arXiv,http://arxiv.org/abs/2111.06784v4,2021-11-12T15:52:24Z,"A Minimax Learning Approach to Off-Policy Evaluation in Confounded
  Partially Observable Markov Decision Processes",0.94,Nan Jiang,http://arxiv.org/abs/2111.06784v4,http://arxiv.org/pdf/2111.06784v4
Flowformer: Linearizing Transformers with Conservation Flows,Haixu Wu (Tsinghua University) · Jialong Wu (Tsinghua University) · Jiehui Xu (THU) · Jianmin Wang (Tsinghua University) · Mingsheng Long (Tsinghua University),Haixu Wu,arXiv,http://arxiv.org/abs/2202.06258v2,2022-02-13T08:44:10Z,Flowformer: Linearizing Transformers with Conservation Flows,1.0,Mingsheng Long,http://arxiv.org/abs/2202.06258v2,http://arxiv.org/pdf/2202.06258v2
Mirror Learning: A Unifying Framework of Policy Optimisation,Jakub Grudzien Kuba (University of Oxford) · Christian Schroeder de Witt (University of Oxford) · Jakob Foerster (Oxford university),Jakub Grudzien Kuba,arXiv,http://arxiv.org/abs/2201.02373v9,2022-01-07T09:16:03Z,Mirror Learning: A Unifying Framework of Policy Optimisation,1.0,Jakob Foerster,http://arxiv.org/abs/2201.02373v9,http://arxiv.org/pdf/2201.02373v9
Implicit Regularization in Hierarchical Tensor Factorization and Deep Convolutional Neural Networks,Noam Razin (Tel Aviv University) · Asaf Maman (Tel Aviv University) · Nadav Cohen (Tel Aviv University),Noam Razin,arXiv,http://arxiv.org/abs/2201.11729v3,2022-01-27T18:48:30Z,"Implicit Regularization in Hierarchical Tensor Factorization and Deep
  Convolutional Neural Networks",0.99,Nadav Cohen,http://arxiv.org/abs/2201.11729v3,http://arxiv.org/pdf/2201.11729v3
Value Function based Difference-of-Convex Algorithm for Bilevel Hyperparameter Selection Problems,Lucy Gao (University of Waterloo) · Jane J. Ye (University of Victoria) · Haian Yin (Southern University of Science and Technology) · Shangzhi Zeng (University of Victoria) · Jin Zhang (Southern University of Science and Technology),Lucy Gao,arXiv,http://arxiv.org/abs/2206.05976v1,2022-06-13T08:51:10Z,"Value Function Based Difference-of-Convex Algorithm for Bilevel
  Hyperparameter Selection Problems",0.99,Jin Zhang,http://arxiv.org/abs/2206.05976v1,http://arxiv.org/pdf/2206.05976v1
Scalable Spike-and-Slab,Niloy Biswas (Harvard University) · Lester Mackey (Microsoft Research) · Xiao-Li Meng (Harvard University),Niloy Biswas,arXiv,http://arxiv.org/abs/2204.01668v1,2022-04-04T17:28:48Z,Scalable Spike-and-Slab,1.0,Xiao-Li Meng,http://arxiv.org/abs/2204.01668v1,http://arxiv.org/pdf/2204.01668v1
Conditional GANs with Auxiliary Discriminative Classifier,"Liang Hou (Institute of Computing Technology, Chinese Academy of Sciences) · Qi Cao (Institute of Computing Technology, Chinese Academy of Sciences) · Huawei Shen (Institute of Computing Technology, Chinese Academy of Sciences) · Siyuan Pan (Shanghai Jiao Tong University) · Xiaoshuang Li (Shanghai Jiao Tong University) · Xueqi Cheng (Institute of Computing Technology, CAS, China)",Liang Hou,arXiv,http://arxiv.org/abs/2107.10060v5,2021-07-21T13:06:32Z,Conditional GANs with Auxiliary Discriminative Classifier,1.0,Xueqi Cheng,http://arxiv.org/abs/2107.10060v5,http://arxiv.org/pdf/2107.10060v5
Anarchic Federated Learning,Haibo Yang (The Ohio State University) · Xin Zhang (Iowa State University) · Prashant Khanduri (University Of Minnesota) · Jia Liu (The Ohio State University),Haibo Yang,arXiv,http://arxiv.org/abs/2108.09875v4,2021-08-23T00:38:37Z,Anarchic Federated Learning,1.0,Jia Liu,http://arxiv.org/abs/2108.09875v4,http://arxiv.org/pdf/2108.09875v4
Surrogate Likelihoods for Variational Annealed Importance Sampling,Martin Jankowiak (Broad Institute / Basis) · Du Phan (Google),Martin Jankowiak,arXiv,http://arxiv.org/abs/2112.12194v1,2021-12-22T19:49:45Z,Surrogate Likelihoods for Variational Annealed Importance Sampling,1.0,Du Phan,http://arxiv.org/abs/2112.12194v1,http://arxiv.org/pdf/2112.12194v1
Decomposing Temporal High-Order Interactions via Latent ODEs,Shibo Li (University of Utah) · Robert Kirby (University of Utah) · Shandian Zhe (University of Utah),Shibo Li,Google,,,(PDF) ,0.03,,https://www.researchgate.net/publication/353060006_Latent_Space_Model_for_Higher-order_Networks_and_Generalized_Tensor_Decomposition,
Contextual Information-Directed Sampling,Botao Hao (Deepmind) · Tor Lattimore (DeepMind) · Chao Qin (Columbia University),Botao Hao,arXiv,http://arxiv.org/abs/2205.10895v2,2022-05-22T18:08:42Z,Contextual Information-Directed Sampling,1.0,Chao Qin,http://arxiv.org/abs/2205.10895v2,http://arxiv.org/pdf/2205.10895v2
PAC-Bayesian Bounds on Rate-Efficient Classifiers,Alhabib Abbas (University College London) · Yiannis Andreopoulos (University College London),Alhabib Abbas,Google,,,Review for NeurIPS paper: A Limitati,0.165,,https://proceedings.neurips.cc/paper/2020/file/ec79d4bed810ed64267d169b0d37373e-Review.html,
Constrained Gradient Descent: A Powerful and Principled Evasion Attack Against Neural Networks,Weiran Lin (Carnegie Mellon University) · Keane Lucas (Carnegie Mellon University) · Lujo Bauer (Carnegie Mellon University) · Michael Reiter (Duke University) · Mahmood Sharif (Tel Aviv University),Weiran Lin,arXiv,http://arxiv.org/abs/2112.14232v2,2021-12-28T17:36:58Z,"Constrained Gradient Descent: A Powerful and Principled Evasion Attack
  Against Neural Networks",0.989,Mahmood Sharif,http://arxiv.org/abs/2112.14232v2,http://arxiv.org/pdf/2112.14232v2
Pessimistic Q-Learning for Offline Reinforcement Learning: Towards Optimal Sample Complexity,"Laixi Shi (Carnegie Mellon University) · Gen Li (Tsinghua University, China) · Yuting Wei (University of Pennsylvania) · Yuxin Chen (University of Pennsylvania) · Yuejie Chi (CMU)",Laixi Shi,arXiv,http://arxiv.org/abs/2202.13890v2,2022-02-28T15:39:36Z,"Pessimistic Q-Learning for Offline Reinforcement Learning: Towards
  Optimal Sample Complexity",0.989,Yuejie Chi,http://arxiv.org/abs/2202.13890v2,http://arxiv.org/pdf/2202.13890v2
Measuring the Effect of Training Data on Deep Learning Predictions via Randomized Experiments,Anqi Zhang (New York University) · Jinkun Lin (New York University) · Aurojit Panda (NYU) · Jinyang Li (New York University) · Mathias Lécuyer (University of British Columbia) · Siddhartha Sen (Microsoft Research),Anqi Zhang,arXiv,http://arxiv.org/abs/2206.10013v1,2022-06-20T21:27:18Z,"Measuring the Effect of Training Data on Deep Learning Predictions via
  Randomized Experiments",0.989,Siddhartha Sen,http://arxiv.org/abs/2206.10013v1,http://arxiv.org/pdf/2206.10013v1
Fast-Rate PAC-Bayesian Generalization Bounds for Meta-Learning,Jiechao Guan (Renmin University of China) · Zhiwu Lu (Renmin University of China),Jiechao Guan,,,,,0.0,,,
